subject_id,defaulted,income_monthly,employment_years,credit_history_months,avg_monthly_spend,late_payments_12m,spend_to_income_ratio,employment_stability,credit_to_employment_ratio,has_late_payments,risk_score,risk_band
s_000001,0,24929.44,4.28,19,16141.18,0,0.6474486611547972,8.854532850467043,0.36287242169595113,0,0.3669928828477431,medium
s_000002,0,31099.72,5.59,28,17763.5,1,0.5711604104342278,13.216538086806242,0.4112808460634548,1,0.39279070804722455,medium
s_000003,1,34076.62,4.25,0,15532.92,0,0.45581000081578465,8.761599454437528,0.0,0,0.3305288612728607,medium
s_000004,0,47841.4,4.3,12,27483.58,1,0.5744607293948464,8.916669781930919,0.2281368821292776,1,0.3772724977576769,medium
s_000005,0,34679.31,5.99,12,20472.31,1,0.5903150808052178,14.66021142412346,0.16465422612513722,1,0.4227848555594285,medium
s_000006,0,29616.96,1.88,6,12771.27,0,0.4312001906951053,2.5777261297507925,0.2546689303904924,0,0.3711883114058752,medium
s_000007,1,33118.23,0.0,24,29302.83,2,0.8847678523927035,0.0,2.0,1,0.7055855435834684,high
s_000008,0,14291.49,4.24,22,9058.39,0,0.6337866949705754,8.730694359556978,0.42405551272166536,0,0.3895230206008516,medium
s_000009,0,45287.17,3.91,26,31095.87,0,0.6866223563460392,7.731524493914509,0.5425709515859766,0,0.30896915981539436,medium
s_000010,0,45036.07,0.58,14,46020.94,0,1.0218457817082685,0.44171484014010665,1.7587939698492465,0,0.5194142085672747,medium
s_000011,0,45320.2,4.45,0,21496.43,0,0.4743129043361606,9.3872852838294,0.0,0,0.298062857660088,low
s_000012,0,39569.28,5.75,26,21018.89,1,0.5311787028042257,13.788015629524068,0.37142857142857144,1,0.35914599297149863,medium
s_000013,0,34223.79,4.37,0,21786.17,0,0.6365611008862289,9.135286147680324,0.0,0,0.37689573679448135,medium
s_000014,0,32756.04,5.11,0,14127.05,1,0.4312675992702637,11.551312955677377,0.0,1,0.40945386147934193,medium
s_000015,0,34623.57,2.62,29,21667.76,0,0.6257914538722069,4.240840482734526,0.8939580764488286,0,0.333381436182842,medium
